ticker,quarter,gold_revenue,gold_oz_sold,realised_price,w_gold,L0a,aisc_margin,L1,L2,published_aisc,aisc_comparable,aisc_basis_note,gold_cost_total,total_revenue,aisc_ratio,is_outlier,recon_residual_pct,flags
KGC,2025Q4,1986.2,479347,4143.553626078811,0.9818091942659416,54.63699526734468,57.01757088913504,40.740357602404686,36.73872385363343,1825.0,1781.0,by-product column substituted for the published headline,1177.015017301038,2023.0,0.4298242911086496,False,-0.005,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|NOT_DISCLOSED:capitalised_exploration|derived_q4;CAPINT_ADDED
KGC,2026Q1,2351.0,482472,4872.8216352451545,0.976450554471072,58.90259464057848,65.99506150574224,36.24815954950432,38.5810557531201,1732.0,1657.0,by-product column substituted for the published headline,1498.8057689911534,2407.7,0.3400493849425776,False,-0.0,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|NOT_DISCLOSED:capitalised_exploration;CAPINT_ADDED
KGC,2026Q2,2181.1,486507,4483.183181331409,0.9745319690809168,56.43482646371096,60.94292985190959,32.78976178548455,37.83765503809326,1821.0,1751.0,by-product column substituted for the published headline,1465.9225056967964,2238.1,0.3905707014809041,False,0.008,GEO_BASIS|ONLY_CONSOLIDATED|NOT_DISCLOSED:royalties|CAPINT_EXCLUDED|EXPL_INCL_BUSINESS_DEV|NOT_DISCLOSED:capitalised_exploration;CAPINT_ADDED
NEM,2021Q1,2482.0,1417000,1751.5878616796049,0.8642061281337048,38.7187751813054,45.59222401289284,21.84977879703603,21.84977879703603,1039.0,953.0,by-product column substituted for the published headline,1939.6884902575655,2872.0,0.5440777598710717,False,-0.018,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;CASH_TAX_ALLOCATED_FROM_FY
NEM,2021Q2,2630.0,1444000,1821.3296398891969,0.8580750407830342,40.68441064638783,49.59726235741445,23.81357426142866,22.831676529232347,1035.0,918.0,by-product column substituted for the published headline,2003.7029969244263,3065.0,0.5040273764258555,False,-0.103,ONLY_CONSOLIDATED;derived_from_cumulative;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;CASH_TAX_ALLOCATED_FROM_FY
NEM,2021Q3,2516.0,1416000,1776.8361581920904,0.8690846286701209,34.41971383147854,41.41271860095389,17.544951066160685,21.06943470820846,1120.0,1041.0,by-product column substituted for the published headline,2074.569031175397,2895.0,0.5858728139904611,False,0.005,ONLY_CONSOLIDATED;derived_from_cumulative;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;CASH_TAX_ALLOCATED_FROM_FY
NEM,2021Q4,2915.0,1620000,1799.382716049383,0.859882005899705,37.15265866209263,46.3704974271012,21.51984700469088,21.182037782329065,1056.0,965.0,by-product column substituted for the published headline,2287.696459813261,3390.0,0.536295025728988,False,-0.101,ONLY_CONSOLIDATED;derived_q4;derived_from_cumulative;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;CASH_TAX_ALLOCATED_FROM_FY
NEM,2022Q1,2514.0,1329000,1891.647855530474,0.8316242143565994,35.24264120922832,45.23293556085919,20.723610065584765,20.900495599466247,1156.0,1036.0,by-product column substituted for the published headline,1993.008442951199,3023.0,0.5476706443914081,False,-0.021,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;INTEREST_INCOME_FROM_LATER_FILING;CASH_TAX_ALLOCATED_FROM_FY
NEM,2022Q2,2722.0,1482000,1836.707152496626,0.8901242642249837,32.14548126377664,31.344526083761934,13.417933209478557,18.301585336478723,1199.0,1261.0,by-product column substituted for the published headline,2356.763858037993,3058.0,0.6865547391623806,False,0.061,ONLY_CONSOLIDATED;derived_from_cumulative;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;INTEREST_INCOME_FROM_LATER_FILING;CASH_TAX_ALLOCATED_FROM_FY
NEM,2022Q3,2350.0,1391000,1689.432063263839,0.8921791951404707,24.04255319148936,24.945191489361697,1.3407713829642054,14.2505404156796,1271.0,1268.0,by-product column substituted for the published headline,2318.4918725003413,2634.0,0.750548085106383,False,-0.054,ONLY_CONSOLIDATED;derived_from_cumulative;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;CASH_TAX_ALLOCATED_FROM_FY
